gram,freq
spi,90
pol,90
bb,90
sce,89
nse,89
ey,89
rk,88
rab,88
hor,88
gat,88
exp,88
cri,88
cra,88
cle,87
sk,86
scr,86
rel,86
arc,86
ach,86
ace,86
ram,85
orm,85
ther,83
sol,83
of,83
acc,83
wh,82
tch,82
dg,82
cur,82
til,81
sw,81
pli,81
ond,81
ale,81
ack,81
sis,80
erv,80
cla,80
bra,80
spo,79
ref,79
emp,79
cho,79
ane,79
ire,78
sca,77
rse,77
tho,76
py,76
mit,76
eal,76
sal,75
ock,75
ime,75
ign,75
ify,75
ict,75
cent,75
son,74
gre,74
equ,74
dem,74
cro,74
comm,74
uct,73
ton,73
rev,73
hin,73
ept,73
bar,73
val,72
sup,72
net,72
ky,72
fla,72
gle,71
are,71
amp,71
reg,70
bri,70
ute,69
sor,69
she,69
nci,69
duc,69
ord,68
las,68
sha,67
rge,67
ote,67
ft,67
conc,67
vel,66
ude,66
rad,66
ext,66
ail,66
oy,65
lor,65
ium,65
ash,65
ong,64
nes,64
hol,64
gin,64
gar,64
dge,64
dep,64
arm,64
san,63
oth,63
aut,63
uit,62
thr,62
stu,62
sn,62
mil,62
ye,61
uff,61
sma,61
sem,61
out,61
gan,61
spec,60
pul,60
ode,60
mul,60
fin,60
def,60
stri,59
rus,59
rom,59
nor,59
vit,58
try,58
tel,58
sec,58
esp,58
emb,58
ase,57
alt,57
ake,57
rf,56
phy,56
ount,56
ink,56
fle,56
ank,56
som,55
ship,55
rog,55
rid,55
ood,55
oe,55
isp,55
hon,55
fra,55
ctor,55
wn,54
vent,54
thi,54
sho,54
sat,54
lon,54
bel,54
bat,54
ban,54
vat,53
ung,53
ump,53
stru,53
pic,53
oss,53
med,53
lut,53
lim,53
lc,53
gic,53
ead,53
del,53
cap,53
bor,53
ax,53
arch,53
ange,53
amb,53
ya,52
wr,52
rov,52
rip,52
lum,52
lm,52
evi,52
eth,52
dra,52
cru,52
bal,52
ward,51
tant,51
squ,51
rum,51
ras,51
pha,51
ox,51
orn,51
mag,51
inv,51
erp,51
win,50
une,50
ule,50
tw,50
rav,50
pon,50
ped,50
mou,50
hes,50
bur,50
bro,50
vin,49
ull,49
tial,49
spa,49
oke,49
kn,49
ient,49
eed,49
det,49
van,48
uck,48
stan,48
pas,48
nct,48
mper,48
ith,48
his,48
gal,48
eva,48
bli,48
avi,48
abo,48
zz,47
una,47
ume,47
rce,47
ound,47
exc,47
dist,47
conf,47
