gram,freq
inte,153
ass,153
tro,151
rac,151
nder,150
gen,150
ard,150
tte,149
lic,149
ani,149
rate,148
gn,148
cha,148
hu,147
ral,144
one,144
ner,144
eo,144
ori,143
ind,143
rb,142
ont,142
nter,142
nis,142
mon,142
lar,142
ato,142
olog,141
cen,141
cc,141
ug,140
tati,139
ret,139
lli,138
art,138
ang,138
rti,137
oun,137
rap,136
ora,136
gy,136
ven,135
ren,135
ite,135
ins,135
ain,135
stic,134
rou,134
nge,134
ilit,134
icat,134
ell,134
wo,133
tl,133
ted,133
ris,133
qui,133
ert,133
chi,133
che,132
omp,131
oa,131
unc,130
bil,130
ery,129
ens,129
ust,128
iat,128
enti,128
rp,127
ian,127
ron,126
lan,126
ete,126
pos,125
lle,125
eti,125
tar,124
spe,124
rep,124
ntr,124
hr,124
ster,123
pen,123
af,123
ome,122
oli,122
fic,122
cati,122
rl,121
app,121
emen,120
iona,119
ara,119
tis,118
tab,118
por,118
nv,118
ew,118
erat,118
edi,118
eat,118
cul,118
comp,118
ple,117
ndi,117
unt,116
pla,116
eli,116
nic,115
mer,115
lla,115
ld,115
ht,115
cor,115
car,115
ay,114
ice,113
unde,112
red,112
nit,112
ak,112
rv,111
nsi,111
liz,111
tre,110
ise,110
dl,110
late,109
ecti,109
ear,109
ath,109
ting,108
ser,108
ifi,108
gg,108
cre,108
ress,107
ny,107
isc,107
inat,107
ile,107
erm,107
bili,107
za,106
pri,106
mar,106
ling,106
len,106
lati,106
ght,106
dy,106
dic,106
met,105
enta,105
dd,105
cons,105
sit,104
mor,104
let,104
ien,104
eve,104
eb,104
aw,104
tru,103
sen,103
que,103
pti,103
ory,103
onal,103
iss,103
ger,103
ber,103
pat,102
ore,102
oll,102
ju,102
emi,102
ave,102
ator,102
tle,101
rop,101
ose,101
nati,101
ene,101
col,101
ans,101
shi,100
qua,100
cont,100
ler,99
eu,99
cia,99
can,99
ame,99
fy,98
ero,98
ern,98
att,98
inf,97
alis,97
uti,96
ulat,96
sur,96
sto,96
our,96
nst,96
cou,96
nco,95
nch,95
mpe,95
mati,95
fer,95
din,95
ade,95
ual,94
sub,94
ok,94
isti,94
ini,94
ibl,94
har,94
cer,94
sco,93
ost,93
list,93
lea,93
des,93
sin,92
itio,92
igh,92
han,92
bs,92
arr,92
ros,91
rem,91
ole,91
ick,91
eni,91
dit,91
tran,90
stra,90
spi,90
ps,90
pol,90
ogi,90
bb,90
ativ,90
xp,89
ura,89
sce,89
nse,89
ey,89
aph,89
rk,88
rab,88
oma,88
hor,88
gat,88
exp,88
cri,88
cra,88
abi,88
ult,87
ture,87
tabl,87
pres,87
mic,87
ible,87
emo,87
eas,87
cle,87
war,86
uri,86
tia,86
sk,86
scr,86
rel,86
ree,86
ono,86
onc,86
omi,86
eco,86
dia,86
arc,86
aci,86
ach,86
ace,86
ys,85
uni,85
tit,85
tc,85
rre,85
rma,85
ram,85
orm,85
mpl,85
mal,85
ema,85
rie,84
my,84
xi,83
ther,83
sol,83
rio,83
of,83
nate,83
dec,83
cit,83
acc,83
wh,82
tch,82
sse,82
rch,82
ker,82
itu,82
etr,82
esi,82
dg,82
cur,82
til,81
sw,81
rous,81
pli,81
osi,81
ond,81
ncy,81
nar,81
logi,81
eta,81
esc,81
erc,81
ana,81
alit,81
ale,81
acti,81
ack,81
tory,80
sis,80
non,80
nin,80
lec,80
iza,80
ific,80
ett,80
erv,80
cla,80
cke,80
bra,80
spo,79
ring,79
ref,79
pec,79
ope,79
omm,79
nda,79
mina,79
emp,79
cho,79
ane,79
pho,78
ire,78
ena,78
xt,77
sca,77
rse,77
ivi,77
isi,77
ight,77
essi,77
dle,77
ym,76
tho,76
siv,76
py,76
mit,76
eal,76
cate,76
aliz,76
sal,75
pan,75
oti,75
ock,75
ime,75
ign,75
ify,75
ict,75
cent,75
tter,74
son,74
port,74
ogy,74
llo,74
gre,74
equ,74
eq,74
dem,74
cro,74
comm,74
ami,74
uct,73
ton,73
sive,73
rot,73
rev,73
rag,73
nth,73
lia,73
leg,73
hin,73
ept,73
bar,73
anti,73
yp,72
vers,72
val,72
usi,72
sup,72
ogr,72
ngl,72
net,72
lize,72
ky,72
hal,72
fla,72
esti,72
err,72
ann,72
vis,71
tee,71
imi,71
gle,71
ctiv,71
are,71
amp,71
zati,70
zat,70
ssio,70
reg,70
raph,70
lect,70
ka,70
izat,70
dent,70
cs,70
bri,70
ute,69
sor,69
she,69
rri,69
rai,69
ppe,69
phi,69
nci,69
iu,69
hip,69
duc,69
atu,69
uo,68
tric,68
tim,68
tif,68
rans,68
ord,68
nist,68
las,68
hea,68
eci,68
cto,68
ala,68
uf,67
sha,67
rge,67
ote,67
logy,67
lig,67
lac,67
kin,67
ima,67
grap,67
gis,67
ft,67
conc,67
atic,67
vel,66
ude,66
rad,66
para,66
lus,66
jo,66
isa,66
ext,66
ega,66
disc,66
ail,66
ular,65
rim,65
ract,65
oy,65
lor,65
ium,65
ics,65
ash,65
use,64
tent,64
rmi,64
ong,64
nes,64
hol,64
gin,64
gar,64
ese,64
ding,64
dge,64
dep,64
ces,64
arm,64
tem,63
san,63
oth,63
ogra,63
mpo,63
mpa,63
lam,63
bit,63
aut,63
yn,62
uit,62
thr,62
teri,62
stu,62
sn,62
scen,62
rol,62
pit,62
pin,62
oph,62
mil,62
itat,62
ier,62
adi,62
ye,61
uff,61
sma,61
sem,61
roc,61
riz,61
rabl,61
out,61
kl,61
itt,61
ila,61
gan,61
cula,61
aff,61
tica,60
spec,60
rta,60
rig,60
pul,60
ode,60
nia,60
nan,60
mul,60
hic,60
fin,60
fica,60
def,60
atr,60
yc,59
stri,59
stat,59
rus,59
rom,59
nor,59
nl,59
lab,59
hoo,59
etic,59
cis,59
ae,59
vit,58
upe,58
uns,58
try,58
tel,58
sec,58
pet,58
low,58
led,58
je,58
ino,58
ibi,58
ffe,58
eter,58
esp,58
emb,58
tua,57
tate,57
rte,57
nou,57
nom,57
nne,57
niz,57
ls,57
lou,57
ase,57
alt,57
alo,57
ake,57
tom,56
rity,56
rif,56
rf,56
phy,56
phe,56
ount,56
orr,56
oca,56
nsu,56
lv,56
ink,56
idi,56
fle,56
ank,56
abil,56
trat,55
tai,55
som,55
ship,55
rra,55
rog,55
rid,55
rial,55
orat,55
ood,55
oe,55
mme,55
iva,55
isp,55
hon,55
hil,55
fra,55
form,55
ensi,55
ctor,55
ated,55
ama,55
wn,54
vent,54
thi,54
sho,54
sat,54
rth,54
ola,54
lon,54
iga,54
cio,54
bel,54
bat,54
ban,54
az,54
vat,53
ung,53
ump,53
ugh,53
stru,53
pic,53
oss,53
onf,53
mn,53
med,53
lut,53
lim,53
lc,53
gic,53
efu,53
ede,53
ece,53
ead,53
del,53
ctu,53
cap,53
bor,53
ax,53
arch,53
ange,53
amb,53
ya,52
wr,52
rov,52
rna,52
rip,52
rh,52
pers,52
oro,52
lum,52
lm,52
ito,52
imm,52
iate,52
gist,52
evi,52
eth,52
ency,52
dra,52
cru,52
bal,52
ward,51
tant,51
squ,51
sq,51
rum,51
rib,51
rest,51
ras,51
prop,51
pha,51
ox,51
orn,51
nto,51
mag,51
lly,51
lie,51
inv,51
hro,51
erp,51
cin,51
ata,51
aria,51
yl,50
win,50
une,50
ule,50
tw,50
sib,50
rsi,50
row,50
rdi,50
rav,50
pon,50
ped,50
pal,50
mou,50
lem,50
ik,50
hes,50
hem,50
epr,50
eh,50
ds,50
bur,50
bro,50
vin,49
ull,49
uis,49
ts,49
tial,49
spa,49
ril,49
part,49
oke,49
nve,49
ning,49
mpr,49
lism,49
kn,49
iso,49
ient,49
hum,49
hen,49
eed,49
det,49
xc,48
van,48
uck,48
uat,48
tm,48
stan,48
pir,48
pas,48
odi,48
nct,48
mper,48
ith,48
hm,48
his,48
gal,48
eva,48
erg,48
eno,48
elo,48
eles,48
cid,48
bli,48
avi,48
abo,48
zz,47
una,47
ume,47
rro,47
rni,47
rce,47
ranc,47
ound,47
onv,47
onis,47
loc,47
llu,47
iste,47
iati,47
iali,47
exc,47
erl,47
erb,47
ela,47
eer,47
dist,47
dat,47
conf,47
