word,emojis
clock,⌚️;⏰️;⏱️;⏲️;🕰️;🕛️;🕧️;🕐️;🕜️;🕑️;🕝️;🕒️;🕞️;🕓️;🕟️;🕔️;🕠️;🕕️;🕡️;🕖️;🕢️;🕗️;🕣️;🕘️;🕤️;🕙️;🕥️;🕚️;🕦️
clockwise,🔃;🔁;🔂
close,😥;😓
closed,😆;😚;😙;😝;😽;🌂;📕;📫️;📪️;🔒️;🔐
closet,🚪;🚾
clothes,🥼;👕;👖;👗;👚;👛;👜;👝;👞;👟;👠;👢;👒;🎩
clothing,👣;🌂;☂️;☔️;👓️;👔;👕;👖;👗;👘;🥻;👙;👚;👛;👜;👝;👞;👟;👠;👡;👢;👑;👒;🎩;🎓️;📿
cloud,🫯;💨;💭;☁️;⛅️;⛈️;🌤️;🌥️;🌦️;🌧️;🌨️;🌩️;🌪️;🌫️;🌬️
cloudy,⛅️
clover,🍀
clown,🤡
club,🍷;🍸️;🍹;♣️
clue,🫆;🧩;🗝️
clutch,👝
coaster,🎢
coat,🥼;🧥
coconut,🥥
coffee,☕️
coffin,⚰️
cog,⚙️
coin,👛;🪙
cold,😅;😷;🥶;😰;😓;🧊;🏔️;🌨️;❄️;☃️;⛄️;💧;🧣;🧥
collage,📌
collar,👕;👚
collide,💥
collision,💥
colorful,🦚;🎨
comb,🪮
combat,🤼
come,🫴
comet,☄️
comfort,🫂
comfortable,👘
comfy,🥿
comic,💩;💢;💥;💫;💦;💨;💬;💭;💤;💧;💡;💣️;💠
communication,📢;📱;📲;📞;📟️;📠;📰;📩;📦️;📫️;📝;📶;📳
compass,🧭
complete,✅️
complicated,😥
compress,🗜️
computer,💻️;🖥️;🖨️;⌨️;🖱️;🖲️;💽;💾;💿️;📀;🛜
concentrate,😣
concentration,😣
concertina,🪗
conch,🐚
condiment,🧂;🫙
confetti,🎊
confused,😕;🫤;😖
confusing,😕
confusion,🫤
conga,🪘
congratulations,👏;㊗️
consider,🤔
construction,👷;🏗️;🚧;🚩
contact,🔎;🔭;📡
container,🫙
control,🎛️;🛂
controller,🎮️
convenience,🏪
convoluted,🥨
cookie,🥠;🍪
cooking,🍳;🍽️;🍴;🔪;🏺
cool,😛;😎;🪭;🆒
cop,👮
copter,🚁
coral,🪸
cord,🪢
cork,🍾
corn,🌽;🍿
correct,👊
cosmetics,💅;💄
cosmetology,💇
cost,😲;😫;💰️
couch,🛋️
counterpart,👯
country,🏠️;🏡
couple,👭;👫;👬;💏;💑
cover,📔
cow,🐮;🐄
crab,🦀;♋️
cracked,🔓️
cracker,🍘
crane,🏗️
crayon,🖍️
crazy,😜;🤪;🫨;😳
cream,🍦;🍨
creative,🎨
creature,👹;👺;👻;👽️;👾;🧜;🫈;🐙
credentials,🪪
credit,💳️
crescent,🥐;🌒;🌘;🌙;☪️
cricket,🦗;🏏
crime,🫆
criminal,🦹
cringe,😖
crochet,🧶
crocodile,🐊
croissant,🥐
crook,🪝
cross,🤞;🧘;⛪️;⛑️;✝️;☦️;❌️;❎️;🎌
crossbones,☠️
crossing,🚸
crown,🫅;🤴;👸;👑
cruise,🚣
crush,🥰
crutch,🩼
cry,🥹;😢;😭;😿
crying,🤣;😂;😪;😢;😭;😩;😿
crystal,🔮
cube,🧊
cubical,🏢
cucumber,🥒
culture,🧫
cup,🍵;🍶;🥤;🪠
curious,🦝
curl,📃;➰️;➿️
curly,🦱;➰️;➿️
currency,💴;💵;💶;💷;💹;💱;💲
curry,🍛
curve,🪝
custard,🍮
cut,💇;🥩;💈;✂️;🪚
cute,🩷;🩵
cutlery,🍴
cutting,✂️
cycle,🚴;🚵;🚲️
cyclist,🚴;🚵;🚲️
cyclone,🌀
cygnet,🦢
dad,🧢
dagger,🗡️
dairy,🧈
dam,🦫
dance,💃;🕺;🪩;🪭;🩰;🪇
dandelion,🌼
danger,🛘;⚡️
dangerous,💣️
dapper,😏
dark,🌑;🕶️
dart,🎯
dash,💨;〰️
dashing,💨
data,📈;📉;📊
date,😗;😚;😙;💘;💕;💏;💐;💄;📅
daughter,👧
day,🧖;🌞
daze,🫨
dead,😑;😵;😳;💀;☠️;🧟;🪾;⚰️;🪦
deaf,🧏
deal,🤝
death,💀;☠️;⚰️;⚱️
debate,🫯
deciduous,🌳
decor,🪴
decoration,💟;🎍
decorative,📔
deer,🦌
dejected,😅;😔;😞
delicious,😋;🍴
delivery,🥡;🚚;📦️
demon,😈;👿
demonstration,🪧
denim,👖
dental,🪥
dentist,😬;😷;🦷
department,🏬
departure,🛫
depressed,🫥
derelict,🏚️
dermatologist,😷
desert,🐪;🐫;🌵;🏜️;🏝️
dessert,🍡;🍦;🍧;🍨;🍩;🍪;🎂;🍰;🧁;🍫;🍬;🍭;🍮
detective,🕵️;🫆
devil,😈;👿;👹
diagonal,🫤
dialog,💬;🗨️
diamond,♦️;💍;💎;🔶;🔷;🔸;🔹;💠
diaper,🧷
dice,🎲
die,🎲
diesel,⛽️
diet,🍎
difficult,☯️
dig,🪏
dim,🔅
dinner,🐟️;🍽️;🍴
dinosaur,🦕;🦖
direct,🎯
direction,🧭;⬆️;↗️;➡️;↘️;⬇️;↙️;⬅️;↖️
disability,🩼
disagreement,🫯
disappear,🫠;🫥
disappointed,😔;🫤;😥;😞;🙍;🙎
disapproval,🤨
disaster,🛘
disbelief,🫢;🤨;😳;🤦
disc,🥏
disco,🪩
discount,🈹
disease,🦟;🪰
disgruntled,🙍
disguise,🥸
dish,🧫;📡
disk,💽;💾;💿️;📀
dislike,👎️
dismiss,🫳
dissolve,🫠
distraught,😖
distrust,🤨
disturbed,🙍
dive,🥽
divide,➗️
division,➗️
dizzy,🥴;😵;💫;🌀
do,📋️;⛔️
doctor,😷;🏥;🥼;💉;💊;🩺;🩻
document,📃;📄;🪪
dodo,🦤
dog,🦴;🐶;🐕️;🦮;🐩;🌭
doll,🎎;🪆
dollar,🪙;💰️;💵;💸;💲
dolphin,🐬
donation,🩸
done,💅;⌛️;⏳️;✅️;☑️;✔️
donkey,🫏
donut,🍩
door,🚪
dope,👌
dot,💠
double,👯;⏩️;⏪️;⏫️;⏬️;⏸️;‼️;➿️
doubt,🫤;🤷
doubtful,🫤
dove,🕊️
down,🙃;🫳;👇️;👎️;🐨;📩;📉;↘️;⬇️;↙️;↕️;⤵️;🔽;⏬️;🔻
downward,📉
downwards,🔽
dragon,🐲;🐉;🀄️
dream,💭
dress,👗;🥻;👚;👛;👜;👝;👠;👢
dressage,🐴
dribble,⛹️
drink,🍼;🥛;☕️;🫖;🍵;🍶;🍾;🍷;🍸️;🍹;🍺;🥂;🫗;🥤;🧉;🏺
drip,💦;🫟
drive,🚐;🚕;🚙;🚚;🚛
dromedary,🐪
drop,🫳;☔️;💧;🩸
droplet,💦;💧
drought,🌵;🪾
drove,🚖;🚘️;🚦
drum,🛢️;🥁;🪘
drunk,🥴;🍹
dry,🚱
duck,🦆;🪿
duckling,🦢
duel,🤼
dumpling,🥟
dung,💩
dupe,♟️
dusk,🌆;🌇
dying,🥵;🥀
dynamite,🧨
eagle,🦅
ear,👂️;🦻;🧏;👯;🌾;🌽
earth,🌍️;🌎️;🌏️;🌐
east,➡️
easy,🍳
eat,😋;🍔;🍽️;🍴;🥄
edge,📏
education,🎒;🎓️;📔;📕;📖;📗;📘;📙;📚️
egg,🐣;🪺;🥚;🍳
eight,🕗️;🕣️;🎱;✳️;✴️;8️⃣
eighteen,🔞
eject,⏏️
elderly,🧓;👴;👵
electric,🚃;⚡️;🔌;💡;🔦
electricity,⚡️;🔌
electronic,🪫
elegant,💃;🕺;🌹
elephant,🐘
elevator,🛗
eleven,🕚️;🕦️
elf,🧝
elk,🫎
elves,🧝
embarrass,🫢;🫣
emblem,🔱
embrace,🫂
embroidery,🪡
emergency,🚑️;🚨;🦺
emotion,💘;💝;💖;💗;💓;💞;💕;💟;💔;❤️;🩷;💛;💚;💙;🩵;💜;🩶;💋;♥️
empty,🪹;🫗;🫙
enchantment,🧝
end,🔚
energy,🪫
engaged,💍
engagement,💍;💎
engine,🚂;🚒
ensnare,🪝
entertainment,🎠;🎆;🎣;🎯;🎮️;🎲;🎭️;🎨;📻️
entry,⛔️;🚫
envelope,🧧;✉️;📨;📩
epic,😜;😯;😱
equal,🟰
equality,🟰
equestrian,🐎
equine,🐴
eruption,🌋
euro,🪙;💶
evening,🌆
evidence,🧾
evil,😈;👿;🙈;🙉;🙊;🖤;🦹;🧿
evolution,🧬
ewe,🐑
exasperation,🤦
exchange,💱
excited,😅;🤩;🥳;👻;💖;💗;👏;🤸;🎉
exclamation,❣️;‼️;⁉️;❕️;❗️
exercise,🙆
exhalation,🫁
exhausted,🫩
expendable,♟️
expensive,🫰
experiment,🥼;🧪;🔬
expert,🤓
explode,🤯;💥
explosion,💣️
explosive,🧨
expressionless,😐️;😑;😶
extinction,🦣;🦤
extinguish,🧯
extra,🛸
eye,😄;😁;😊;😍;😚;😙;😜;🤪;😝;🫣;😸;😻;😽;👀;👁️;👓️;🕶️;🥽;🧿
face,😀;😃;😄;😁;😆;😅;🤣;😂;🙂;🙃;🫠;😉;😊;😇;🥰;😍;🤩;😘;😗;☺️;😚;😙;🥲;😋;😛;😜;🤪;😝;🤑;🤗;🤭;🫢;🫣;🤫;🤔;🫡;🤐;🤨;😐️;😑;😶;🫥;😏;😒;🙄;😬;🤥;🫨;😌;😔;😪;🤤;😴;🫩;😷;🤒;🤕;🤢;🤮;🤧;🥵;🥶;🥴;😵;🤠;🥳;🥸;😎;🤓;🧐;😕;🫤;😟;🙁;☹️;😮;😯;😲;😳;🫪;🥺;🥹;😦;😧;😨;😰;😥;😢;😭;😱;😖;😣;😞;😓;😩;😫;🥱;😤;😡;😠;🤬;😈;👿;💀;☠️;💩;🤡;👹;👺;👻;👽️;👾;🤖;😺;😸;😹;😻;😼;😽;🙀;😿;😾;🙈;🙉;🙊;👀;👼;💆;🗣️;🐵;🐶;🐺;🦊;🐱;🦁;🐯;🐴;🦄;🐮;🐷;🐽;🐭;🐹;🐰;🐻;🐨;🐼;🐸;🐲;🐳;🌚;🌛;🌜️;🌝;🌞;🌬️;⛑️;🗿
facing,🤛;🤜;🐥;📄
factory,🏭️
fail,😞;😩;⛔️
fairy,😇;😈;👿;💀;👹;👺;👻;👽️;👾;🤴;👸;👼;🎅;🤶;🧚;🧌;🐲;🐉;🔮
faithful,💯
fall,🍂
fallen,🍂
family,👪️;👑
fan,🪭
fancy,🧐;👗;👛;🎩
fantasy,😇;😈;👿;👹;👺;👻;👽️;👾;🤴;👸;👼;🎅;🤶;🧙;🧚;🧝;🧞;🧌;🔮;📖;📗;📘;📙;📚️
farm,🐴;🐎;🐮;🐂;🐄;🐷;🐖;🐽;🐑;🐐;🌽
farming,🧺
fart,💨
fashion,👠
fast,💨;🏃;🍔;🍟;👟;⏩️;⏪️;⏫️;⏬️
father,🎅
favor,🙇
fax,📠
fear,😨;😱;🫦
fearful,😨;😱
feather,🪶
feed,🍴
feelings,🥹
feet,🦶;🐾;👞
female,🐑;♀️
fencing,🤺
ferry,⛴️
festival,🥮;🎎
festive,💃;🕺;🪅
fetch,💁
fever,🤧;🦟
feverish,🥵
field,🏑
fife,🪈
fight,🫯;🥷
fighter,🥷
file,📁;📂;🗃️;🗄️
filing,🗄️
filling,🥧
film,🎥;🎞️;📽️;🎦
fine,😐️;😑;😒
finger,🖐️;🖖;🤞;🫰;🤘;👈️;👉️;👆️;🖕;👇️;☝️;🫵
finish,🏁
fire,🚒;🔥;🧨;🧯
first,🌓;🌛;🥇
fish,🐟️;🐠;🐡;🦈;🍥;🎣;♓️
fishing,🚣;🦦;🐟️;🎣
fist,✊️;👊;🤛;🤜
five,✋️;🫷;🫸;🙏;🕔️;🕠️;5️⃣
fix,👷
fixed,✅️
flag,⛳️;📫️;📪️;📬️;📭️;🏁;🚩;🏴;🏳️;🏴󠁧󠁢󠁥󠁮󠁧󠁿;🏴󠁧󠁢󠁳󠁣󠁴󠁿;🏴󠁧󠁢󠁷󠁬󠁳󠁿
flair,💃;🕺
flamboyant,🦩
flame,🔥
flamenco,💃;🕺
flamingo,🦩
flash,📸
flat,🥿
flautist,🪈
flavor,🧂
flavoring,🧄;🧅
flex,💪
flick,💁
flight,🪶
flip,💁;🤸;🩴
flipper,🐬
flirt,😉;😘;😗;😚;😙;😏;🫦;👭;👫;👬;🪭
float,🛟
flock,🪿
floor,🤣
flop,🩴
floppy,💾
flower,💐;🌸;💮;🪷;🌹;🥀;🌺;🌻;🌼;🌷;🪻;🎴
flu,🤧;💉
fluctuate,🪀
fluffy,🐩;🐑
flute,🪈
flutter,🍃;🪭
fly,🕊️;🪽;🪰;✈️;🪁;💸
flying,🪽;✈️;🛸;🥏
focus,😣
fog,🌁;🌫️
foggy,🌁
folder,📁;📂
fondue,🫕
food,😋;🦐;🦑;🥭;🍎;🫐;🥝;🍅;🫒;🥑;🥔;🥕;🫑;🥒;🥜;🫘;🫜;🍞;🥐;🥖;🫓;🥞;🥓;🍔;🍟;🍕;🫔;🥙;🥚;🥘;🍲;🫕;🥗;🥫;🍱;🍘;🍙;🍚;🍛;🍜;🍝;🍠;🍢;🍣;🍥;🥡;🍦;🍨;🍩;🍭;🍯;🫖;🧋;🍴
foot,🦵;🦶;👞
for,🔰;🈺
forbidden,🙈;🙉;🙊;🙅;🔕;⛔️;🚫;🚳;🚭️;🚯;🚷;📵;🔞
force,🪠
forest,🫈;🌲;🌳
forgive,🙇
forgot,😮;😧;🙈
fork,🍽️;🍴
formal,🤵;🎩
fortune,🥠;🔮;🪬;🔯
forward,⏩️
fountain,⛲️;🖋️
four,🍀;🕓️;🕟️;4️⃣
fowl,🪿
fox,🦊
frame,🖼️;🪟
frankfurter,🌭
free,🆓;🈶;🈚️
fresh,💈;🪟
fried,🍤
friend,👥
friendship,🫂
fries,🍟
frog,🐸
from,😤
front,🐥;🚪
frown,😕;🙁;☹️;😦;🙍;🙎
fruit,🍇;🍈;🍉;🍊;🍋;🍌;🍍;🥭;🍎;🍏;🍐;🍑;🍒;🍓;🫐;🥝;🍅;🥑;🥧
frustrated,🫤;😖;😠;🙍
frustration,🫤
fry,🍳
fuel,⛽️
full,😋;💯;🫃;🫄;🌕️;🌝
fume,😤
funeral,⚱️
fungus,🍄
funny,🤣;😂;😜
furious,😤
fury,😤
future,🔮
gaggle,🪿
gait,🚶
gamble,🎰
gambling,🎰
game,👾;🏐;🎳;🏏;🏑;🏒;🏓;🏸;🥌;🎯;🎱;🎮️;🕹️;🎰;🎲;♠️;♥️;♦️;♣️;🃏;🀄️;🎴;🏁
gander,🪿
gang,🚲️
garbage,🗑️
garden,🐌;🐛;🐜;🐞;🫜;🏡;👒;🪏
garlic,🧄
gas,⛽️
gasoline,⛽️
gasp,🫢
gay,🌈
gear,⚙️
geek,🤓
geese,🪿
gem,💎;🪎
gene,🧬
genetics,🧬
genie,🧞
geometric,🔴;🔵;⚫️;⚪️;⬛️;⬜️;◼️;◻️;◾️;◽️;▪️;▫️;🔶;🔷;🔸;🔹;🔺;🔻;💠;🔘;🔳;🔲
gesture,🙈;🙉;🙊;🤌;🤟;🙌;🙏;🙍;🙅;🙆;🙋;🧏;🙇
gesundheit,🤧
ghost,👻
giant,🫈
gift,🧧;🎁
gifted,🤓
giggle,🤭
ginger,🦰;🫚
giraffe,🦒
girl,👧
glad,😊;🥲
glass,🥛;🍷;🍸️;🥂;🥃;🫗;🔍️;🔎
glide,🪂
glitter,🪩
glittery,🌟
